"Formula";"TP";"TN";"FP";"FN";"Accuracy";"Sensitivity";"Specificity"
"229";"target ~ cp0+ca3";43;36;6;17;0.774509803921569;0.857142857142857;0.716666666666667
"230";"target ~ cp0+ca4";45;35;7;15;0.784313725490196;0.833333333333333;0.75
"231";"target ~ cp0+thal0";45;35;7;15;0.784313725490196;0.833333333333333;0.75
"232";"target ~ cp0+thal1";43;35;7;17;0.764705882352941;0.833333333333333;0.716666666666667
"233";"target ~ cp0+thal2";32;40;2;28;0.705882352941177;0.952380952380952;0.533333333333333
"234";"target ~ cp0+thal3";34;40;2;26;0.725490196078431;0.952380952380952;0.566666666666667
"235";"target ~ cp1+cp2";36;38;4;24;0.725490196078431;0.904761904761905;0.6
"236";"target ~ cp1+cp3";22;37;5;38;0.57843137254902;0.880952380952381;0.366666666666667
"237";"target ~ cp1+fbs0";13;40;2;47;0.519607843137255;0.952380952380952;0.216666666666667
"238";"target ~ cp1+fbs1";13;40;2;47;0.519607843137255;0.952380952380952;0.216666666666667
"239";"target ~ cp1+restecg0";13;40;2;47;0.519607843137255;0.952380952380952;0.216666666666667
"240";"target ~ cp1+restecg1";13;40;2;47;0.519607843137255;0.952380952380952;0.216666666666667
"241";"target ~ cp1+restecg2";13;40;2;47;0.519607843137255;0.952380952380952;0.216666666666667
"242";"target ~ cp1+exang0";52;19;23;8;0.696078431372549;0.452380952380952;0.866666666666667
"243";"target ~ cp1+exang1";52;19;23;8;0.696078431372549;0.452380952380952;0.866666666666667
"244";"target ~ cp1+slope0";13;40;2;47;0.519607843137255;0.952380952380952;0.216666666666667
"245";"target ~ cp1+slope1";42;26;16;18;0.666666666666667;0.619047619047619;0.7
"246";"target ~ cp1+slope2";38;33;9;22;0.696078431372549;0.785714285714286;0.633333333333333
"247";"target ~ cp1+ca0";46;30;12;14;0.745098039215686;0.714285714285714;0.766666666666667
"248";"target ~ cp1+ca1";13;40;2;47;0.519607843137255;0.952380952380952;0.216666666666667
"249";"target ~ cp1+ca2";12;40;2;48;0.509803921568627;0.952380952380952;0.2
"250";"target ~ cp1+ca3";13;40;2;47;0.519607843137255;0.952380952380952;0.216666666666667
