"Formula";"TP";"TN";"FP";"FN";"Accuracy";"Sensitivity";"Specificity"
"261";"target ~ cp2+restecg2";23;40;2;37;0.617647058823529;0.952380952380952;0.383333333333333
"262";"target ~ cp2+exang0";55;19;23;5;0.725490196078431;0.452380952380952;0.916666666666667
"263";"target ~ cp2+exang1";55;19;23;5;0.725490196078431;0.452380952380952;0.916666666666667
"264";"target ~ cp2+slope0";23;40;2;37;0.617647058823529;0.952380952380952;0.383333333333333
"265";"target ~ cp2+slope1";48;24;18;12;0.705882352941177;0.571428571428571;0.8
"266";"target ~ cp2+slope2";46;31;11;14;0.754901960784314;0.738095238095238;0.766666666666667
"267";"target ~ cp2+ca0";52;28;14;8;0.784313725490196;0.666666666666667;0.866666666666667
"268";"target ~ cp2+ca1";23;40;2;37;0.617647058823529;0.952380952380952;0.383333333333333
"269";"target ~ cp2+ca2";23;40;2;37;0.617647058823529;0.952380952380952;0.383333333333333
"270";"target ~ cp2+ca3";21;41;1;39;0.607843137254902;0.976190476190476;0.35
"271";"target ~ cp2+ca4";24;39;3;36;0.617647058823529;0.928571428571429;0.4
"272";"target ~ cp2+thal0";23;40;2;37;0.617647058823529;0.952380952380952;0.383333333333333
"273";"target ~ cp2+thal1";23;40;2;37;0.617647058823529;0.952380952380952;0.383333333333333
"274";"target ~ cp2+thal2";43;32;10;17;0.735294117647059;0.761904761904762;0.716666666666667
"275";"target ~ cp2+thal3";46;29;13;14;0.735294117647059;0.69047619047619;0.766666666666667
"276";"target ~ cp3+fbs0";55;5;37;5;0.588235294117647;0.119047619047619;0.916666666666667
"277";"target ~ cp3+fbs1";55;5;37;5;0.588235294117647;0.119047619047619;0.916666666666667
"278";"target ~ cp3+restecg0";40;26;16;20;0.647058823529412;0.619047619047619;0.666666666666667
"279";"target ~ cp3+restecg1";40;26;16;20;0.647058823529412;0.619047619047619;0.666666666666667
"280";"target ~ cp3+restecg2";60;0;42;0;0.588235294117647;0;1
"281";"target ~ cp3+exang0";53;19;23;7;0.705882352941177;0.452380952380952;0.883333333333333
"282";"target ~ cp3+exang1";53;19;23;7;0.705882352941177;0.452380952380952;0.883333333333333
"283";"target ~ cp3+slope0";58;7;35;2;0.637254901960784;0.166666666666667;0.966666666666667
"284";"target ~ cp3+slope1";42;26;16;18;0.666666666666667;0.619047619047619;0.7
"285";"target ~ cp3+slope2";44;31;11;16;0.735294117647059;0.738095238095238;0.733333333333333
"286";"target ~ cp3+ca0";48;29;13;12;0.754901960784314;0.69047619047619;0.8
"287";"target ~ cp3+ca1";53;15;27;7;0.666666666666667;0.357142857142857;0.883333333333333
"288";"target ~ cp3+ca2";57;11;31;3;0.666666666666667;0.261904761904762;0.95
"289";"target ~ cp3+ca3";58;2;40;2;0.588235294117647;0.0476190476190476;0.966666666666667
"290";"target ~ cp3+ca4";60;0;42;0;0.588235294117647;0;1
"291";"target ~ cp3+thal0";60;0;42;0;0.588235294117647;0;1
"292";"target ~ cp3+thal1";58;3;39;2;0.598039215686274;0.0714285714285714;0.966666666666667
"293";"target ~ cp3+thal2";47;30;12;13;0.754901960784314;0.714285714285714;0.783333333333333
"294";"target ~ cp3+thal3";49;27;15;11;0.745098039215686;0.642857142857143;0.816666666666667
"295";"target ~ fbs0+fbs1";53;5;37;7;0.568627450980392;0.119047619047619;0.883333333333333
"296";"target ~ fbs0+restecg0";32;27;15;28;0.57843137254902;0.642857142857143;0.533333333333333
"297";"target ~ fbs0+restecg1";32;27;15;28;0.57843137254902;0.642857142857143;0.533333333333333
